
Run on 2025-05-27 09:06:12:
Diameter_of_vortex.txt not found.
r1_dt_40_C001H001S0001000106.jpg: 1.37 cm
r1_dt_40_C001H001S0001000107.jpg: 1.37 cm
r1_dt_40_C001H001S0001000108.jpg: 1.37 cm
r1_dt_40_C001H001S0001000109.jpg: 1.37 cm
r1_dt_40_C001H001S0001000110.jpg: 1.38 cm
r1_dt_40_C001H001S0001000111.jpg: 1.39 cm
r1_dt_40_C001H001S0001000112.jpg: 1.39 cm
r1_dt_40_C001H001S0001000113.jpg: 1.38 cm
r1_dt_40_C001H001S0001000114.jpg: 1.37 cm
r1_dt_40_C001H001S0001000115.jpg: 1.36 cm
r1_dt_40_C001H001S0001000116.jpg: 1.37 cm
r1_dt_40_C001H001S0001000117.jpg: 1.37 cm
r1_dt_40_C001H001S0001000118.jpg: 1.37 cm
r1_dt_40_C001H001S0001000119.jpg: 1.37 cm
r1_dt_40_C001H001S0001000120.jpg: 1.38 cm
r1_dt_40_C001H001S0001000121.jpg: 1.38 cm
r1_dt_40_C001H001S0001000122.jpg: 1.39 cm
r1_dt_40_C001H001S0001000123.jpg: 1.39 cm
r1_dt_40_C001H001S0001000124.jpg: 1.39 cm
r1_dt_40_C001H001S0001000125.jpg: 1.39 cm
r1_dt_40_C001H001S0001000126.jpg: 1.40 cm
r1_dt_40_C001H001S0001000127.jpg: 1.41 cm
r1_dt_40_C001H001S0001000128.jpg: 1.42 cm
r1_dt_40_C001H001S0001000129.jpg: 1.41 cm
r1_dt_40_C001H001S0001000130.jpg: 1.40 cm
r1_dt_40_C001H001S0001000131.jpg: 1.38 cm
r1_dt_40_C001H001S0001000132.jpg: 1.38 cm
r1_dt_40_C001H001S0001000133.jpg: 1.38 cm
r1_dt_40_C001H001S0001000134.jpg: 1.38 cm
r1_dt_40_C001H001S0001000135.jpg: 1.38 cm
r1_dt_40_C001H001S0001000136.jpg: 1.38 cm
r1_dt_40_C001H001S0001000137.jpg: 1.38 cm
r1_dt_40_C001H001S0001000138.jpg: 1.38 cm
r1_dt_40_C001H001S0001000139.jpg: 1.38 cm
r1_dt_40_C001H001S0001000140.jpg: 1.37 cm
r1_dt_40_C001H001S0001000141.jpg: 1.38 cm
r1_dt_40_C001H001S0001000142.jpg: 1.40 cm
r1_dt_40_C001H001S0001000143.jpg: 1.41 cm
r1_dt_40_C001H001S0001000144.jpg: 1.41 cm
r1_dt_40_C001H001S0001000145.jpg: 1.41 cm
r1_dt_40_C001H001S0001000146.jpg: 1.40 cm
r1_dt_40_C001H001S0001000147.jpg: 1.38 cm
r1_dt_40_C001H001S0001000148.jpg: 1.38 cm
r1_dt_40_C001H001S0001000149.jpg: 1.38 cm
r1_dt_40_C001H001S0001000150.jpg: 1.38 cm
r1_dt_40_C001H001S0001000151.jpg: 1.39 cm
r1_dt_40_C001H001S0001000152.jpg: 1.38 cm
r1_dt_40_C001H001S0001000153.jpg: 1.38 cm
r1_dt_40_C001H001S0001000154.jpg: 1.38 cm
r1_dt_40_C001H001S0001000155.jpg: 1.38 cm
r1_dt_40_C001H001S0001000156.jpg: 1.40 cm
r1_dt_40_C001H001S0001000157.jpg: 1.40 cm
r1_dt_40_C001H001S0001000158.jpg: 1.40 cm
r1_dt_40_C001H001S0001000159.jpg: 1.42 cm
r1_dt_40_C001H001S0001000160.jpg: 1.43 cm
r1_dt_40_C001H001S0001000161.jpg: 1.43 cm
r1_dt_40_C001H001S0001000162.jpg: 1.41 cm
r1_dt_40_C001H001S0001000163.jpg: 1.40 cm
r1_dt_40_C001H001S0001000164.jpg: 1.40 cm
r1_dt_40_C001H001S0001000165.jpg: 1.41 cm
r1_dt_40_C001H001S0001000166.jpg: 1.41 cm
r1_dt_40_C001H001S0001000167.jpg: 1.42 cm
r1_dt_40_C001H001S0001000168.jpg: 1.42 cm
